,PMID,First Author,Title,N,Disease,Intervention,Total Fibers [g],Fiber Type,Duration [weeks],Arms,Crossover,Country,Region,Data Availability,Metadata Availability,Filter,Notes,DOI
257,32695998,FreedbergDE_2020,Impact of Fiber-Based Enteral Nutrition on the Gut Microbiome of ICU Patients Receiving Broad-Spectrum Antibiotics: A Randomized Pilot Trial,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1097/CCE.0000000000000135
449,36594522,FriasJP_2023,"A microbiome-targeting fibre-enriched nutritional formula is well tolerated and improves quality of life and haemoglobin A1c in type 2 diabetes: A double-blind, randomized, placebo-controlled trial",188.0,Type 2 diabetes,Fiber enriched vs fiber absent vs control diet,,,12.0,3.0,NO,,,Requested,NO,N,Data Not Available,https://doi.org/10.1111/dom.14967
151,30420171,FrugéAD_2020,Fecal Akkermansia muciniphila Is Associated with Body Composition and Microbiota Diversity in Overweight and Obese Women with Breast Cancer Participating in a Presurgical Weight Loss Trial,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1016/j.jand.2018.08.164
377,35267978,FuJ_2022,"Habitual Dietary Fiber Intake, Fecal Microbiota, and Hemoglobin A1c Level in Chinese Patients with Type 2 Diabetes",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/nu14051003
610,39171074,GallantF_2024,Targeting maternal gut microbiome to improve mental health outcomes-a pilot feasibility trial,,,,,,,,,,,NO,,N,Data Not Available,https://doi.org/10.3389/fpsyt.2024.1414291
253,32629992,GandaMallJP_2020,Effects of Dietary Fibres on Acute Indomethacin-Induced Intestinal Hyperpermeability in the Elderly: A Randomised Placebo Controlled Parallel Clinical Trial,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.3390/nu12071954
102,28815303,Garcia-MazcorroJF_2018,"Effect of barley supplementation on the fecal microbiota, caecal biochemistry, and key biomarkers of obesity and inflammation in obese db/db mice",,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1007/s00394-017-1523-y
117,29312822,Garcia-MazcorroJF_2018,"Effect of dark sweet cherry powder consumption on the gut microbiota, short-chain fatty acids, and biomarkers of gut health in obese db/db mice",,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.7717/peerj.4195
131,29943551,Garcia-MazcorroJF_2018,Dietary Supplementation with Raspberry Extracts Modifies the Fecal Microbiota in Obese Diabetic db/db Mice,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.4014/jmb.1803.03020
19,23588438,García-PerisP_2012,"Effect of a mixture of inulin and fructo-oligosaccharide on Lactobacillus and Bifidobacterium intestinal microbiota of patients receiving radiotherapy: a randomised, double-blind, placebo-controlled trial",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3305/nh.2012.27.6.5992
678,40008668,GarcíaMillaP_2025,The effect of supplementation with prebiotic fiber on the gut microbiota of a group of older people with Parkinson's disease from the city of Santiago de Chile. A pilot study,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.20960/nh.05272
191,31273523,GenoniA_2020,"Long-term Paleolithic diet is associated with lower resistant starch intake, different gut microbiota composition and increased serum TMAO concentrations",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1007/s00394-019-02036-y
369,35136356,GeorgescuD_2022,Dyspepsia and Gut Microbiota in Female Patients with Postcholecystectomy Syndrome,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.2147/IJWH.S342882
69,27387020,GeX_2016,Fecal Microbiota Transplantation in Combination with Soluble Dietary Fiber for Treatment of Slow Transit Constipation: A Pilot Study,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.arcmed.2016.06.005
617,39216219,GeY_2024,Mitigating lead-induced osteoporosis: The role of butyrate in gut-bone axis restoration,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.ecoenv.2024.116943
199,31517324,GhettiFF_2019,Effects of Dietary Intervention on Gut Microbiota and Metabolic-Nutritional Profile of Outpatients with Non-Alcoholic Steatohepatitis: a Randomized Clinical Trial,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.15403/jgld-197
346,34659185,GhimireS_2021,Positive Synergistic Effects of Quercetin and Rice Bran on Human Gut Microbiota Reduces Enterobacteriaceae Family Abundance and Elevates Propionate in a Bioreactor Model,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3389/fmicb.2021.751225
584,38894951,GiseviusB_2024,Propionic acid promotes neurite recovery in damaged multiple sclerosis neurons,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1093/braincomms/fcae182
701,40460824,GogokhiaL_2025,Donor composition and fiber promote strain engraftment in a randomized controlled trial of fecal microbiota transplant for ulcerative colitis,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1016/j.medj.2025.100707
431,36148807,GolzarandM_2022,Inulin intake and the incidence of cardiometabolic diseases: a prospective cohort study,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1039/d2fo00063f
112,29144833,Gomez-ArangoLF_2018,Low dietary fiber intake increases Collinsella abundance in the gut microbiota of overweight and obese pregnant women,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1080/19490976.2017.1406584
367,35102419,GondaliaSV_2022,"Substitution of Refined Conventional Wheat Flour with Wheat High in Resistant Starch Modulates the Intestinal Microbiota and Fecal Metabolites in Healthy Adults: A Randomized, Controlled Trial",35.0,NO,High Amylose wheat,,RS,4.0,,,,,NO,,N,Data Not Available,https://doi.org/10.1093/jn/nxac021
250,32606025,GonzalezCG_2020,High-Throughput Stool Metaproteomics: Method and Application to Human Specimens,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1128/mSystems.00200-20
9,22496400,GopalakrishnanA_2012,Supplementation with galacto-oligosaccharides increases the percentage of NK cells and reduces colitis severity in Smad3-deficient mice,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3945/jn.111.154732
427,36079725,GotoY_2022,Metabologenomic Approach Reveals Intestinal Environmental Features Associated with Barley-Induced Glucose Tolerance Improvements in Japanese: A Randomized Controlled Trial,21.0,NO,Barley bread,,,4.0,,,,,,,N,Data Not Available,https://doi.org/10.3390/nu14173468
378,35276884,Granado-SerranoAB_2022,Colonic Microbiota Profile Characterization of the Responsiveness to Dietary Fibre Treatment in Hypercholesterolemia,63.0,Hypercholesterolemia,Fiber enriched cookies,19.2,,8.0,,,,,,,N,Data Not Available,https://doi.org/10.3390/nu14030525
623,39307855,GrantET_2024,Dietary fibers boost gut microbiota-produced B vitamin pool and alter host immune landscape,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1186/s40168-024-01898-7
144,30262842,GreeneLK_2018,The critical role of dietary foliage in maintaining the gut microbiome and metabolome of folivorous sifakas,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41598-018-32759-7
251,32608534,GreeneLK_2020,Daily lettuce supplements promote foraging behavior and modify the gut microbiota in captive frugivores,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1002/zoo.21555
22,23685372,GreenwayF_2014,A novel cobiotic containing a prebiotic and an antioxidant augments the glucose control and gastrointestinal tolerability of metformin: a case report,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3920/BM2012.0063
179,30938383,GriffinLE_2019,A Mediterranean diet does not alter plasma trimethylamine N-oxide concentrations in healthy adults at risk for colon cancer,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1039/c9fo00333a
408,35642048,GruningerRJ_2022,Application of 3-nitrooxypropanol and canola oil to mitigate enteric methane emissions of beef cattle results in distinctly different effects on the rumen microbial community,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1186/s42523-022-00179-8
535,38142919,GubertC_2024,Dietary fibre confers therapeutic effects in a preclinical model of Huntington's disease,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1016/j.bbi.2023.12.023
324,34288919,GurryT_2021,Functional heterogeneity in the fermentation capabilities of the healthy human gut microbiota,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1371/journal.pone.0254004
192,31298466,Gutiérrez-RepisoC_2019,Effect of Synbiotic Supplementation in a Very-Low-Calorie Ketogenic Diet on Weight Loss Achievement and Gut Microbiota: A Randomized Controlled Pilot Study,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1002/mnfr.201900167
709,40537680,HaasM_2025,Effect of dietary fiber on trimethylamine-N-oxide production after beef consumption and on gut microbiota: MEATMARK - a randomized cross-over study,13.0,NO,High Fiber,27.0,,,2.0,YES,,,,,N,Data Not Available,https://doi.org/10.1038/s41430-025-01636-8
637,39461337,HäckerD_2024,Exclusive enteral nutrition initiates individual protective microbiome changes to induce remission in pediatric Crohn's disease,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.chom.2024.10.001
526,38010363,HajjarR_2024,Modulating Gut Microbiota Prevents Anastomotic Leak to Reduce Local Implantation and Dissemination of Colorectal Cancer Cells after Surgery,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1158/1078-0432.CCR-23-1601
70,27434092,HaldS_2016,Effects of Arabinoxylan and Resistant Starch on Intestinal Microbiota and Short-Chain Fatty Acids in Subjects with Metabolic Syndrome: A Randomised Crossover Study,19.0,Metabolic Syndrome,Arabinoxylan + RS2,59,Arabinoxylan + RS2,4.0,2,YES,Denmark,North Europe,PRJNA297793,YES,N,Poor Sequencing Quality,https://doi.org/10.1371/journal.pone.0159223
566,38654680,HallCV_2024,"Effects of a diverse prebiotic fibre supplement on HbA1c, insulin sensitivity and inflammatory biomarkers in pre-diabetes: a pilot placebo-controlled randomised clinical trial",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1017/S0007114524000904
711,40592130,HallCV_2025,Characterising high-resolution dynamics of inflammatory and SCFA responses to food consumption in healthy men: A pilot biomarker discovery study,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.cyto.2025.156990
243,32448722,HamakerBR_2020,Discrete Fiber Structures Dictate Human Gut Bacteria Outcomes,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.tem.2020.05.002
152,30425247,HansenLBS_2018,A low-gluten diet induces changes in the intestinal microbiome of healthy Danish adults,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41467-018-07019-x
343,34622239,HanssenNMJ_2021,"Fecal microbiota transplantation and fiber supplementation, better together?",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.xcrm.2021.100403
299,33810796,HaranJP_2021,"Virtualized clinical studies to assess the natural history and impact of gut microbiome modulation in non-hospitalized patients with mild to moderate COVID-19 a randomized, open-label, prospective study with a parallel group study evaluating the physiologic effects of KB109 on gut microbiota structure and function: a structured summary of a study protocol for a randomized controlled study",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1186/s13063-021-05157-0
541,38282197,Harcęko-ZielińskaE_2024,"The influence of nutritional habits, body mass index and intestinal microbiota in mastocytosis on clinical symptoms using conventional culture and next generation sequencing",,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1002/clt2.12310
437,36241870,HassanNE_2022,"Brief overview of dietary intake, some types of gut microbiota, metabolic markers and research opportunities in sample of Egyptian women",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41598-022-21056-z
628,39362281,HeadleySA_2025,Effects of High Amylose-Resistant Starch on Gut Microbiota and Uremic Toxin Levels in Patients With Stage-G3a-G4 Chronic Kidney Disease: A Randomized Trial,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1053/j.jrn.2024.09.005
116,29307330,HealeyG_2018,"Habitual dietary fibre intake influences gut microbiota response to an inulin-type fructan prebiotic: a randomised, double-blind, placebo-controlled, cross-over, human intervention study",34.0,Dysbiosis,Inulin,14.72,Fructans,3.0,2.0,YES,New Zealand,New Zealand,PRJNA414683,YES,Y,16s,https://doi.org/10.1017/S0007114517003440
559,38512401,HechtAL_2024,Dietary carbohydrates regulate intestinal colonization and dissemination of Klebsiella pneumoniae,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1172/JCI174726
329,34364241,HedinCR_2021,Prebiotic fructans have greater impact on luminal microbiology and CD3+ T cells in healthy siblings than patients with Crohn's disease: A pilot study investigating the potential for primary prevention of inflammatory bowel disease,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.clnu.2021.05.033
194,31367691,HenningSM_2019,"Hass Avocado Inclusion in a Weight-Loss Diet Supported Weight Loss and Altered Gut Microbiota: A 12-Week Randomized, Parallel-Controlled Trial",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1093/cdn/nzz068
543,38327148,HerterJ_2024,"Bowel health, defecation patterns and nutrient intake following adoption of a vegan diet: a randomized-controlled trial",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1080/07853890.2024.2305693
337,34491388,HeS_2022,"Inulin-type prebiotics reduce serum uric acid levels via gut microbiota modulation: a randomized, controlled crossover trial in peritoneal dialysis patients",16.0,,10g inulin + oligofructose vs maltodextrin,,,12.0,1.0,NO,,,NO,,N,Data Not Available,https://doi.org/10.1007/s00394-021-02669-y
203,31605197,HessAL_2020,"The effect of inulin and resistant maltodextrin on weight loss during energy restriction: a randomised, placebo-controlled, double-blinded intervention",,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1007/s00394-019-02099-x
183,31108510,HielS_2019,Effects of a diet based on inulin-rich vegetables on gut health and nutritional behavior in healthy humans,26.0,NO,Inulin,15.0,,2.0,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1093/ajcn/nqz001
237,32340903,HielS_2020,Link between gut microbiota and health outcomes in inulin -treated obese patients: Lessons from the Food4Gut multicenter randomized placebo-controlled trial,150.0,Overweight,Inulin + caloric restriction,16.0,,12.0,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1016/j.clnu.2020.04.005
554,38469373,HillEB_2023,"Plasma, urine, and stool metabolites in response to dietary rice bran and navy bean supplementation in adults at high-risk for colorectal cancer",10.0,Risk of CRC,Rice bran + bean powder,30.0,,12.0,1.0,NO,,,,,N,Excluded Cohort Type,https://doi.org/10.3389/fgstr.2023.1087056
104,28883543,HjorthMF_2018,"Pre-treatment microbial Prevotella-to-Bacteroides ratio, determines body fat loss success during a 6-month randomized controlled diet intervention",62.0,Overweight,High Fiber,,General Fibers,26.0,,,,,,,N,Data Not Available,https://doi.org/10.1038/ijo.2017.220
221,32034403,HjorthMF_2020,Pretreatment Prevotella-to-Bacteroides ratio and salivary amylase gene copy number as prognostic markers for dietary weight loss,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1093/ajcn/nqaa007
651,39717875,HogenelstK_2024,A prebiotic intervention improves mood in everyday life in healthy women but not in men: Exploratory results from a larger double-blind placebo controlled cross-over study,54.0,NO,Acacia gum + carrot powder,13.0,,12.0,2.0,YES,,,,,N,Data Not Available,https://doi.org/10.1016/j.bbih.2024.100918
567,38664378,HolmbergSM_2024,The gut commensal Blautia maintains colonic mucus function under low-fiber consumption through secretion of short-chain fatty acids,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1038/s41467-024-47594-w
659,39781271,HolmIM_2024,Evaluation of dietary quality in patients with functional gastrointestinal symptoms: a Norwegian single centre study,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.29219/fnr.v68.10692
44,25527750,HolscherHD_2015,Fiber supplementation influences phylogenetic structure and functional capacity of the human intestinal microbiome: follow-up of a randomized controlled trial,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3945/ajcn.114.092064
49,26203099,HolscherHD_2015,"Agave Inulin Supplementation Affects the Fecal Microbiota of Healthy Adults Participating in a Randomized, Double-Blind, Placebo-Controlled, Crossover Trial",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3945/jn.115.217331
119,29373513,HolscherHD_2018,Almond Consumption and Processing Affects the Composition of the Gastrointestinal Microbiota of Healthy Adult Men and Women: A Randomized Controlled Trial,18.0,NO,Almonds,,,,,,,,,,N,Data Not Available,https://doi.org/10.3390/nu10020126
641,39536440,HolzM_2024,Effects of dietary cellulose on clinical and gut microbiota recovery in dogs with uncomplicated acute diarrhea: a randomized prospective clinical trial,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.2460/javma.24.07.0476
691,40336123,HondaM_2025,"The effects of waxy barley on defecation, sleep, mental health, and quality of life: a randomized double-blind parallel-group comparison study",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1186/s40101-025-00393-8
372,35186353,HongYS_2022,Human gut commensal bacterium Ruminococcus species FMB-CY1 completely degrades the granules of resistant starch,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1007/s10068-021-01027-2
11,22649263,HoodaS_2012,454 pyrosequencing reveals a shift in fecal microbiota of healthy adult men consuming polydextrose or soluble corn fiber,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3945/jn.112.158766
632,39387205,HornerKM_2024,"Plant protein, fibre and physical activity solutions to address poor appetite and prevent undernutrition in older adults: study protocol for the APPETITE randomised controlled trial",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1017/S0007114524002125
650,39710576,Hornero-RamirezH_2025,Multifunctional dietary approach reduces intestinal inflammation in relation with changes in gut microbiota composition in subjects at cardiometabolic risk: the SINFONI project,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1080/19490976.2024.2438823
676,40005035,HoteitM_2025,"Evaluating the Efficacy of Probiotics on Disease Progression, Quality of Life, and Nutritional Status Among Patients with Crohn's Disease: A Multicenter, Randomized, Single-Blinded Controlled Trial",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3390/nu17040708
582,38887904,HouC_2024,"Pomegranate Juice Supplemented with Inulin Modulates Gut Microbiota and Promotes the Production of Microbiota-Associated Metabolites in Overweight/Obese Individuals: A Randomized, Double-Blind, Placebo-Controlled Trial",23.0,Overweight,Inulin + Pomegranate juice,,,3.0,1.0,NO,,,,,N,Excluded Cohort Type,https://doi.org/10.1021/acs.jafc.4c00849
608,39132075,HoughtonD_2022,"Phase II Feasibility Study of the Efficacy, Tolerability, and Impact on the Gut Microbiome of a Low-Residue (Fiber) Diet in Adult Patients With Mitochondrial Disease",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.gastha.2022.03.007
573,38735572,HowardEJ_2024,Impact of Plant-Based Dietary Fibers on Metabolic Homeostasis in High-Fat Diet Mice via Alterations in the Gut Microbiota and Metabolites,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1016/j.tjnut.2024.05.003
546,38359903,HsuC_2024,Green banana flour as a novel functional ingredient in retorted feline diets,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1093/jas/skae039
175,30895795,HsuYL_2019,Evaluation and Optimization of Sample Handling Methods for Quantification of Short-Chain Fatty Acids in Human Fecal Samples by GC-MS,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1021/acs.jproteome.8b00536
583,38892647,HuangfuW_2024,Dietary Fiber-Derived Butyrate Alleviates Piglet Weaning Stress by Modulating the TLR4/MyD88/NF-κB Pathway,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3390/nu16111714
401,35569003,HuangJ_2022,Probiotics Plus Dietary Fiber Supplements Attenuate Olanzapine-Induced Weight Gain in Drug-Naïve First-Episode Schizophrenia Patients: Two Randomized Clinical Trials,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1093/schbul/sbac044
420,35961168,HuangZ_2023,Distinct effects of fiber and colon segment on microbiota-derived indoles and short-chain fatty acids,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.foodchem.2022.133801
474,37017261,HuD_2023,Psyllium seed husk regulates the gut microbiota and improves mucosal barrier injury in the colon to attenuate renal injury in 5/6 nephrectomy rats,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1080/0886022X.2023.2197076
292,33671147,HughesRL_2021,Resistant Starch Type 2 from Wheat Reduces Postprandial Glycemic Response with Concurrent Alterations in Gut Microbiota Composition,30.0,NO,RS2,9.6,,1.0,,,,,,,N,Poor Sequencing Quality,https://doi.org/10.3390/nu13020645
714,40682564,HuL_2025_2025,Gut microbiota-modulating potential of sweet potato-derived dietary fiber for type 2 diabetes management,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1002/jsfa.70058
488,37181306,HusseinA_2023,LC/MS analysis of mushrooms provided new insights into dietary management of diabetes mellitus in rats,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1002/fsn3.3236
492,37270570,HutchisonER_2023,Dissecting the impact of dietary fiber type on atherosclerosis in mice colonized with different gut microbial communities,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1038/s41522-023-00402-7
512,37739776,HuY_2023,"Interplay between diet, circulating indolepropionate concentrations and cardiometabolic health in US populations",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1136/gutjnl-2023-330410
461,36841667,IgudesmanD_2023,Associations of Dietary Intake with the Intestinal Microbiota and Short-Chain Fatty Acids Among Young Adults with Type 1 Diabetes and Overweight or Obesity,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1016/j.tjnut.2022.12.017
673,39974023,IgudesmanD_2025,"Global metabolite profiling in feces, serum, and urine yields insights into energy balance phenotypes induced by diet-driven microbiome remodeling",17.0,NO,High Fiber,,,3.0,2.0,YES,,,,,N,Excluded Cohort Type,https://doi.org/10.1101/2025.02.05.25321733
344,34642970,Inzunza-SotoM_2021,Health benefits of first and second extraction drum-dried pitted olive pomace,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1111/1750-3841.15925
393,35458231,IversenKN_2022,"The Effects of High Fiber Rye, Compared to Refined Wheat, on Gut Microbiota Composition, Plasma Short Chain Fatty Acids, and Implications for Weight Loss and Metabolic Risk Factors (the RyeWeight Study)",,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.3390/nu14081669
306,33996876,JaagoM_2021,Drastic Effects on the Microbiome of a Young Rower Engaged in High-Endurance Exercise After a Month Usage of a Dietary Fiber Supplement,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3389/fnut.2021.654008
507,37657523,JacksonPP_2023,"Inulin-type fructans and 2'fucosyllactose alter both microbial composition and appear to alleviate stress-induced mood state in a working population compared to placebo (maltodextrin): the EFFICAD Trial, a randomized, controlled trial",92.0,Anxiety,Oligofructose + 2’ Fucosylactose,,,5.0,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1016/j.ajcnut.2023.08.016
39,25403198,JacquierV_2014,Early modulation of the cecal microbial activity in the young rabbit with rapidly fermentable fiber: impact on health and growth,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.2527/jas.2014-7604
433,36171082,JalankaJ_2023,Postinfective bowel dysfunction following Campylobacter enteritis is characterised by reduced microbiota diversity and impaired microbiota recovery,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1136/gutjnl-2021-326828
615,39196205,JamaHA_2023,Prebiotic intervention with HAMSAB in untreated essential hypertensive patients assessed in a phase II randomized trial,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s44161-022-00197-4
34,25037189,JamesSL_2015,Abnormal fibre usage in UC in remission,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1136/gutjnl-2014-307198
227,32153802,JangHB_2017,Association of dietary patterns with the fecal microbiota in Korean adolescents,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1186/s40795-016-0125-z
297,33772084,JangYO_2021,High-fiber diets attenuate emphysema development via modulation of gut microbiota and metabolism,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1038/s41598-021-86404-x
614,39182247,JardonKM_2024,Examination of sex-specific interactions between gut microbiota and host metabolism after 12-week combined polyphenol supplementation in individuals with overweight or obesity,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1080/19490976.2024.2392875
561,38593705,JianC_2024,The impact of daily supplementation with rhamnogalacturonan-I on the gut microbiota in healthy adults: A randomized controlled trial,146.0,NO,0g vs 0.3g vs 1.5g rhamnogalacturonan-I,,,8.0,3.0,NO,,,Requested,NO,N,Data Not Available,https://doi.org/10.1016/j.biopha.2024.116561
695,40356189,JiangJ_2025,"Dietary fiber intake, genetic predisposition of gut microbiota, and the risk of metabolic dysfunction-associated steatotic liver disease",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1016/j.foodres.2025.116497
438,36323929,JiangL_2022,A high-fiber diet synergizes with Prevotella copri and exacerbates rheumatoid arthritis,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1038/s41423-022-00934-6
65,27282191,JiangZ_2016,"Characteristic chromatographic fingerprint study of short-chain fatty acids in human milk, infant formula, pure milk and fermented milk by gas chromatography-mass spectrometry",,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1080/09637486.2016.1195798
187,31194939,JohnsonAJ_2019,Daily Sampling Reveals Personalized Diet-Microbiome Associations in Humans,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.chom.2019.05.005
245,32510158,JohnstoneAM_2020,Nondigestible Carbohydrates Affect Metabolic Health and Gut Microbiota in Overweight Adults after Weight Loss,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1093/jn/nxaa124
360,34959936,JohnstoneN_2021,Nutrient Intake and Gut Microbial Genera Changes after a 4-Week Placebo Controlled Galacto-Oligosaccharides Intervention in Young Females,64.0,NO,Galacto-oligosaccharides,,,4.0,,,,,,,N,Data Not Available,https://doi.org/10.3390/nu13124384
399,35533897,JourovaL_2022,"Butyrate, a typical product of gut microbiome, affects function of the AhR gene, being a possible agent of crosstalk between gut microbiome, and hepatic drug metabolism",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.jnutbio.2022.109042
359,34958387,KableME_2022,Tree-Based Analysis of Dietary Diversity Captures Associations Between Fiber Intake and Gut Microbiota Composition in a Healthy US Adult Cohort,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1093/jn/nxab430
108,28971851,KaczmarekJL_2017,Time of day and eating behaviors are associated with the composition and function of the human gastrointestinal microbiota,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3945/ajcn.117.156380
148,30317146,KaczmarekJL_2019,Broccoli consumption affects the human gastrointestinal microbiota,18.0,NO,Broccoli,,,2.5,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1016/j.jnutbio.2018.09.015
460,36824174,KadyanS_2023,Prebiotic mechanisms of resistant starches from dietary beans and pulses on gut microbiome and metabolic health in a humanized murine model of aging,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3389/fnut.2023.1106463
500,37457834,KadyanS_2023,Dietary fiber modulates gut microbiome and metabolome in a host sex-specific manner in a murine model of aging,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3389/fmolb.2023.1182643
670,39896159,KapoorMP_2025,"Dietary intervention of prebiotic partially hydrolyzed guar gum improves skin viscoelasticity, stratum corneum hydration, and reduction of trans-epidermal water loss: a randomized, double-blind, and placebo-controlled clinical study in healthy humans",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3164/jcbn.24-69
101,28814395,KarlJP_2017,Fecal concentrations of bacterially derived vitamin K forms are associated with gut microbiota composition but not plasma or fecal cytokine concentrations in healthy adults,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3945/ajcn.117.155424
